no,company,inspector,location,date,vendor,raw_content,corrective_action,is_completed,photo_before,photo_after,remarks,SDN_risk,Hanmi_risk,SDN_score,Hanmi_score
25.0,Hanmi,Surender Kumar,Module 1F,09.03.2026,Hankuk,The locking pin of shakle was not properly tied,"Do not lift the loose materials/rigging equipments,kindly do proper check before lifting",Yes,WhatsApp Image 2026-03-09 at 3.26.56 PM,,Dropping,전도/낙하/부딪힘,낙하,0.3419,0.3039
26.0,Hanmi,Surender Kumar,Module 1F,09.03.2026,DSHI,Unsafe handling og gas cylinder by single worker,Do follow safe material handling methods,Yes,WhatsApp Image 2026-03-09 at 3.28.06 PM,,Explosion,화재/탄화,폭발,1.0,1.0
27.0,Hanmi,Surender Kumar,Module 1F,09.03.2026,DSHI,"Wrong position of d shakle,unsafe rigging method",Kindly follow safe rigging method,Yes,WhatsApp Image 2026-03-09 at 3.29.46 PM,,Dropping,전도/낙하/부딪힘,낙하,0.3332,0.3548
28.0,Hanmi,Rahul Mor,Module 1F,09.03.2026,DSHI,Risky access /Safety voilation unsafe loose staircase type platform using without clamping/tighten moreover the height of the staircase type platform was above the middle railings of scissor lift which is not allowed,"Do not allow this type of substandard platform above the middle railing, decrease the height & do proper clamping/tighten",Yes,WhatsApp Image 2026-03-09 at 3.57.51 PM (1),,Falling,떨어짐/낙상,추락,0.5218,0.5725
29.0,Hanmi,Rahul Mor,Module GF,10.03.2026,Halim,Materials storage container   Pvc conduit pipes installed which are not allowed & no installation of roof modular fire extinguisher & smoke detectors done,Pvc conduit pipes to be replaced withG.I conduit pipes & need to install roof modular fire extinguisher & smoke detectors,Yes,,,Fire,화재/탄화,화재,1.0,1.0
30.0,Hanmi,Rahul Mor,Module GF,10.03.2026,DSHI,"Deck sheet shifting work going on by workers only , no supervision by safety engineer or site engineer","Kindly increase supervision for the risky activities like lifting , Site engineer & safety person should be there during lifting",Yes,WhatsApp Image 2026-03-10 at 9.18.58 AM,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
31.0,Hanmi,Rahul Mor,Module GF,10.03.2026,DSHI,Using stand core drill machine  No safety inspection tag is there  No body earthing connection for stand core drill machine has been given  No authorized person (operator) details displayed on machine or nearby ,"Kindly provide inspection tag , body earthing,opearator details",Yes,WhatsApp Image 2026-03-10 at 9.25.23 AM (1),,Electric shock,감전/합선,감전,1.0,1.0
32.0,Hanmi,Rahul Mor,Module 2F,10.03.2026,DSHI,Shifting of deck sheets started by spider crane ( Mini crawler crane - 3 ton )  Beneath area was not controlled properly  Unauthorized entry was not banned  Both signalman were stand together & didn't stop any Unauthorized person  Unsafe handling of deck sheets by upside persons also ,"Kindly isolate the lifting/shifting area , No Unauthorized entry should be allowed during lifting,do training for handling the deck sheets at height safely",Yes,WhatsApp Image 2026-03-10 at 10.07.31 AM,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
33.0,Hanmi,Rahul Mor,Module 2F,10.03.2026,Hankuk,"The gap between lifeline posts is much than safe, the gap needs to decrease & much number of lifeline posts needs to install for safe use of lifeline at height ",Kindly do rearrangements for safe anchoring of lifeline posts,Yes,,,Falling,떨어짐/낙상,추락,0.329,0.412
34.0,Hanmi,Rahul Mor,Module GF,11.03.2026,DSHI,"Stand core drill machine ( Metal body )  Still body earthing not provided, need additional body earthing for operator safety  Unauthorized person operating the machine ","Kindly provide additional body earthing for stand core drill machine and authorised person only operate the machine , display the details",Yes,WhatsApp Image 2026-03-11 at 8.52.50 AM,,Electric shock,감전/합선,감전,1.0,1.0
35.0,Hanmi,Rahul Mor,Module GF,11.03.2026,DSHI,"Three Fire hydrant access is blocked ??,  materials scattered nearby in haphazard manner",Clear the materials from nearby & infront of all fire hydrant system for emeregency purpose,Yes,WhatsApp Image 2026-03-11 at 8.55.20 AM,,Fire,화재/탄화,화재,1.0,1.0
36.0,Hanmi,Rahul Mor,Module GF,11.03.2026,Daemyoung,"PDB access is blocked ??,  materials scattered nearby & infront in haphazard manner, Inspection checklist is not up to date","Kindly clear the access way for PDB, update the inspection checklist on daily basis",Yes,WhatsApp Image 2026-03-11 at 9.00.57 AM,,Fire,화재/탄화,화재,1.0,1.0
37.0,Hanmi,Surender Kumar,Module GF,11.03.2026,Hankuk,Shuttering board was shifted by workers on shoulder without using shoulder pads,Provide job specific PPE,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
38.0,Hanmi,Rahul Mor,Module 1F,11.03.2026,DSHI,Tool boxes & other nearby materials stored without materials name tag/material information sheet,Provide /display material information sheet,Yes,WhatsApp Image 2026-03-11 at 9.21.07 AM,,Others,기타,기타,1.0,1.0
39.0,Hanmi,Surender Kumar,Module 1F,11.03.2026,DSHI,Material were found out of the scissor lift body in unsafe manner,All materials or person should be inside the scissor lift body during work at height,Yes,,,Falling,전도/낙하/부딪힘,낙하,0.5587,0.4801
40.0,Hanmi,Rahul Mor,Module 2F,11.03.2026,Hankuk,Materials scattered in access way in haphazard manner,Clear the access way from all extra materials,Yes,WhatsApp Image 2026-03-11 at 9.36.11 AM,,Falling,전도/낙하/부딪힘,낙하,0.5445,0.4886
