no,company,inspector,location,date,vendor,raw_content,corrective_action,is_completed,photo_before,photo_after,remarks,SDN_risk,Hanmi_risk,SDN_score,Hanmi_score
98.0,Hanmi,Rahul Mor,Module 2F,17.03.2026,DSHI,"Silicone sealant stored in non designated area at height at deck sheet area, No Housekeeping maintained near by",Kindly store only in designated area,Yes,,,Fire,화재/탄화,화재,1.0,1.0
99.0,Hanmi,Rahul Mor,Module 2F,17.03.2026,DSHI,"Lots of grinding/cutting wheels pieces scattered in haphazard manner at height at deck sheet area,",Need Housekeeping for all the area before work closing,Yes,,,Falling,떨어짐/낙상,낙하,0.4558,0.4455
100.0,Hanmi,Rahul Mor,Module 2F,17.03.2026,DSHI,"Unsafe opening ( low height of rope ) 
Risky condition at height","Kindly install hard barricade, till than need to improve the height of temporary barricade",Yes,,,Falling,떨어짐/낙상,추락,0.3926,0.4698
101.0,Hanmi,Rahul Mor,Module GF,17.03.2026,Hankuk,"Lifting work going on at 06:40pm whether permit Time is until 06:30pm only,means Lifting work going on without permit extension","Kindly donot allow any work without work permit authorization, after 6pm-6:30pm donot allow lifting work",Yes,,,Others,기타,기타,1.0,1.0
102.0,Hanmi,Rahul Mor,Module 1F,17.03.2026,Hankuk,Some working area illumination were not proper during night hours,Kindly provide proper illumination for all working area & measure lux level time to time during night hours,Yes,,,Falling,전도/낙하/부딪힘,추락,0.3313,0.3298
103.0,Hanmi,Rahul Mor,Module 1F,17.03.2026,Hankuk,"Unsafe position ,standing over scaffolding guard railings","Kindly donot stand on railing of scaffolding ,use only safe platform at height",Yes,,,Falling,떨어짐/낙상,추락,0.4804,0.4885
104.0,Hanmi,Rahul Mor,Module 1F,18.03.2026,Hankuk,"Portable air compressor 
1.The mesh on the belt guard is too wide, creating a finger-trap hazard for the moving flywheel and drive belt.
2. There are no inspection tag from contractor/SCT 
3. Industrial nails used for wheels instead of 
wheels locking pin 
4. The guarding is not fixed properly,  rotating parts are not fully covered
5. No wheels locking system or no outer stopper provided
6. No hot surface/body warning ( Do not touch /Hot surface)displayed on air compressor",Do the inspection & close the safety concerns,Yes,,,Others,기타,기타,1.0,1.0
105.0,Hanmi,Rahul Mor,Module 2F,18.03.2026,Hankuk,Unsafe opening near edge area at height, one more guard rail ( mid railing ) need to Install/provide,Yes,,,Dropping,전도/낙하/부딪힘,낙하,0.3725,0.4156
106.0,Hanmi,Rahul Mor,Module 2F,18.03.2026,Hankuk,"Insulation & reflective not provided for sharp edges rebars at face height , risk of face/eye injury",Kindly provide Insulation for all sharp edges,Yes,WhatsApp Image 2026-03-18 at 9.46.43 AM,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
107.0,Hanmi,Rahul Mor,Module 1F,18.03.2026,Hankuk,"Many Workers & staff person Name tag , induction stickers etc. not displayed at safety helmet,",Kindly check the induction record & display the name sticker & induction sticker,Yes,WhatsApp Image 2026-03-18 at 9.49.46 AM,,Others,기타,기타,1.0,1.0
108.0,Hanmi,Rahul Mor,Module 2F,18.03.2026,DSHI,"High Risky condition 
Unsafe tie point for retractable fall arrestor on bolt with rope",Kindly use safe anchor point instead of bolt,Yes,WhatsApp Image 2026-03-18 at 10.40.33 AM (1),,Falling,전도/낙하/부딪힘,추락,0.5141,0.4688
109.0,Hanmi,Rahul Mor,Module 2F,18.03.2026,DSHI,At other point retractable fall arrestor tied with d shakle ( d shakle without tpi tag ),Kindly use inspected tool & tackle,Yes,WhatsApp Image 2026-03-18 at 10.41.48 AM,,Others,기타,기타,1.0,1.0
110.0,Hanmi,Rahul Mor,Module 2F,18.03.2026,DSHI,Near edge area need reflective sigange for safe distance from edge area,Kindly do the compliance,Yes,WhatsApp Image 2026-03-18 at 10.42.48 AM,,Falling,전도/낙하/부딪힘,낙하,0.4239,0.4137
111.0,Hanmi,Rahul Mor,Module 2F,18.03.2026,DSHI,In grinder cable cord not available /damaged,Kindly provide electric cable cord in grinding machine,Yes,WhatsApp Image 2026-03-18 at 10.44.10 AM,,Electric shock,감전/합선,감전,1.0,1.0
112.0,Hanmi,Rahul Mor,Module GF,18.03.2026,DSHI,Signalman Giving signal to crane operator by walkie-talkie by just standing near the material/staircase ,"Signalman should be out of the barricade area , should be on safe distance during lifting",Yes,WhatsApp Image 2026-03-18 at 1.44.31 PM,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
113.0,Hanmi,Rahul Mor,Module 1F,18.03.2026,DSHI,"Korean person handling the structure with hand , he is positioned in a highly dangerous area between the fixed structure and the rotating/hanging structure [ staircase] Any sudden movement could result in a crushing injury.",Use alternate safe method or update the SOP accordingly,Yes,WhatsApp Image 2026-03-18 at 2.03.57 PM,,Entrapment,끼임,협착,1.0,1.0
114.0,Hanmi,Rahul Mor,Module 2F,18.03.2026,Hankuk,Rounds from web sling weren't removed before start lifting ( Twisted web sling),Kindly check the web sling /rigging before start lifting/shifting,Yes,WhatsApp Image 2026-03-18 at 3.07.45 PM (1),,Dropping,전도/낙하/부딪힘,낙하,0.338,0.3281
115.0,Hanmi,Rahul Mor,Module 2F,18.03.2026,Daemyoung,Cable termination need to be done properly,Do proper cable termination,Yes,WhatsApp Image 2026-03-18 at 3.00.29 PM,,Electric shock,감전/합선,감전,1.0,1.0
116.0,Hanmi,Rahul Mor,Module 2F,18.03.2026,Hankuk,Materials scattered in access way in haphazard manner,Kindly remove the material & clear the access way at scaffolding area ,Yes,WhatsApp Image 2026-03-18 at 3.08.37 PM,,Entrapment,끼임,협착,1.0,1.0
117.0,Hanmi,Rahul Mor,Module GF,18.03.2026,DSHI,"Repeated safety violation 
Signalman Giving signal to crane operator by holding walkie talkie in one hand & holding the material with other hand 
Lack of awareness as lifting signalman","Signalman should be out of the barricade area , should be on safe distance during lifting",Yes,WhatsApp Image 2026-03-18 at 3.36.37 PM,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
118.0,Hanmi,Surender Kumar,Module 2F,19.03.2026,Hankuk,Poor housekeeping,Kindly maintain proper housekeeping in all working areas,Yes,WhatsApp Image 2026-03-19 at 9.19.09 AM,,Others,기타,기타,1.0,1.0
119.0,Hanmi,Surender Kumar,Module 1F,19.03.2026,DSHI,"Risky position
Sitting on single narrow beam/structure with single anchoring , no secondary protection,  trying to hold/pushing the staircase structure in such risky position at height","Use alternative safe working platform & use secondary fall protection also , retraining need about the risk involved in this activity",Yes,WhatsApp Image 2026-03-19 at 10.49.13 AM,,Falling,전도/낙하/부딪힘,추락,0.4888,0.5224
120.0,Hanmi,Surender Kumar,Module 1F,19.03.2026,Hankuk,Unsafe & uneven staking of materials,Kindly do proper staking of all material & maintain that,Yes,WhatsApp Image 2026-03-19 at 2.53.30 PM,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
121.0,Hanmi,Rahul Mor,Module GF,20.03.2026,Daemyoung,"One area some socket connections were there without proper shed, polythene used to cover the connections which is not standard ",Need to provide standard shed,No,WhatsApp Image 2026-03-20 at 9.45.59 AM,,Electric shock,감전/합선,감전,1.0,1.0
122.0,Hanmi,Rahul Mor,Module GF,20.03.2026,Daemyoung,Some area Infront of PDB water egress are not proper due to uneven ground,Kindly arrange proper water egress from PDB nearby& infront area ,No,WhatsApp Image 2026-03-20 at 9.47.43 AM (1),,Electric shock,감전/합선,감전,1.0,1.0
123.0,Hanmi,Rahul Mor,Module 1F,20.03.2026,Daemyoung,"Two workers were found covering the sockets by tape to avoid water ingress into sockets,But There are no permit used for work & area/ground  is wet nearby all DB 
Moreover workers weren't using any hand gloves"," Those workers were sent from site at the same time & instructed not to work in these risky situations & without any permit & supervision, to avoid same in the future give training about this topic in TBM & improve supervision at site",Yes,WhatsApp Image 2026-03-20 at 9.48.19 AM (1),,Electric shock,감전/합선,감전,1.0,1.0
124.0,Hanmi,Rahul Mor,Module 1F,20.03.2026,DSHI,"Storage of gas cylinder was not proper, tighten with single chain is risky"," need atleast double chain system, kindly tighten at two points",Yes,WhatsApp Image 2026-03-20 at 9.52.03 AM,,Dropping,전도/낙하/부딪힘,낙하,0.3223,0.3168
125.0,Hanmi,Rahul Mor,Module 1F,20.03.2026,Hankuk,"Air compressor is placed outer area which is not safe storage point during rainy weather, water ingress can happened inside the air compressor, ",it should be placed under shed or should be covered properly during rain ,Yes,WhatsApp Image 2026-03-20 at 9.53.40 AM,,Electric shock,감전/합선,감전,1.0,1.0
126.0,Hanmi,Rahul Mor,Module GF,20.03.2026,Hankuk,"Concrete cube casting/molding work going on
Without PTW [Work permit authorization]
Without job specific PPE ( Hand gloves & safety goggles ) 
The access is also slippery to the working point ",Donot allow any work without work permit system & proper supervision also required all the time at site,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
127.0,Hanmi,Rahul Mor,Module 2F,21.03.2026,Hankuk,Loose plywood ( toe board) placed  in access way,Kindly install toe board or remove these loose plywoods,Yes,WhatsApp Image 2026-03-21 at 8.43.01 AM,,Dropping,떨어짐/낙상,낙하,0.3722,0.359
128.0,Hanmi,Rahul Mor,Module 2F,21.03.2026,Hankuk,Web sling was placed outside during rain which impact/decrease the strength of web sling,Kindly donot put web sling outside area during rainy weather,Yes,WhatsApp Image 2026-03-21 at 8.50.06 AM,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
129.0,Hanmi,Rahul Mor,Module 2F,21.03.2026,Hankuk,Standing on unsafe platform ( Risky),Kindly use safe working platform instead,Yes,WhatsApp Image 2026-03-21 at 8.57.45 AM,,Falling,전도/낙하/부딪힘,추락,0.4602,0.462
130.0,Hanmi,Rahul Mor,Module 2F,21.03.2026,Hankuk,"Improper access even after floor/platform materials weren't removed from access way , scaffolding",Kindly remove the unnecessary materials from ground /accessway of scaffolding,Yes,WhatsApp Image 2026-03-21 at 9.01.34 AM,,Falling,떨어짐/낙상,추락,0.5272,0.5363
131.0,Hanmi,Rahul Mor,Module GF,21.03.2026,DSHI,"Without lifting plan boom lift shifting/lifting started even after instruction to make lifting plan first
Even No site engineer was available from subcontractor side from DSHI During Lifting",Lifting plan must be prepared before/ during these type of heavy lifting,Yes,WhatsApp Image 2026-03-21 at 9.09.12 AM,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
132.0,Hanmi,Rahul Mor,Module 1F,21.03.2026,DSHI,Boom lift around unauthorized person weren't removed before moving the equipment,Kindly remove all the unauthorized personnel from the working/moving radius of the MEWP to avoid collide with MEWP,Yes,WhatsApp Image 2026-03-21 at 9.16.53 AM,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
133.0,Hanmi,Rahul Mor,Module 1F,21.03.2026,DSHI,"Repeated observation
Workers weren't removed from downside of boom lift( line of fire ) No signalman for boom lift",Kindly remove all the unauthorized personnel from the working/moving radius of the MEWP to avoid collide with MEWP & also provide signalman ,Yes,WhatsApp Image 2026-03-21 at 9.27.56 AM,,Dropping,전도/낙하/부딪힘,추락,0.3345,0.3988
134.0,Hanmi,Rahul Mor,Module 2F,21.03.2026,Hankuk,"Toe board need to be installed, not completely installed ( balance area )",Kindly install/provide toe board for the balance area ,Yes,WhatsApp Image 2026-03-21 at 9.42.39 AM,,Dropping,떨어짐/낙상,추락,0.2915,0.2986
135.0,Hanmi,Rahul Mor,Module 2F,21.03.2026,Hankuk,Gap/opening in planks in scaffolding,Kindly close all the opening in the scaffolding area,Yes,WhatsApp Image 2026-03-21 at 9.46.54 AM,,Dropping,떨어짐/낙상,추락,0.3361,0.3511
136.0,Hanmi,Rahul Mor,Module GF,21.03.2026,DSHI,"High pressurized gas cylinder were kept horizontally in lifting area/zone , risky position/unsafe storage",Kindly remove the gas cylinders ASAP & do safe storage,Yes,WhatsApp Image 2026-03-21 at 10.43.46 AM,,Explosion,화재/탄화,폭발,1.0,1.0
137.0,Hanmi,Rahul Mor,Module 2F,21.03.2026,DSHI,Standing in line of fire ( under the boom bucket ),Kindly retrain the worker about the risk & prevention from line of fire work,Yes,WhatsApp Image 2026-03-21 at 11.03.42 AM,,Dropping,전도/낙하/부딪힘,낙하,0.3738,0.3312
138.0,Hanmi,Rahul Mor,Module 2F,21.03.2026,Hankuk,Unauthorized person weren't removed from lifting radius,Kindly remove all the unauthorized personnel from the lifting work radius,Yes,WhatsApp Image 2026-03-21 at 11.07.13 AM,,Dropping,전도/낙하/부딪힘,낙하,0.3243,0.3228
139.0,Hanmi,Rahul Mor,Module 2F,21.03.2026,DSHI,"Near miss
Miscommunication with downside operator or maybe blind spot for the downside operator
Moreover the boom bucket was slanted 
Boom bucket collided with lifeline post two times  ",Need proper signaling system for such heights,Yes,WhatsApp Image 2026-03-21 at 11.11.38 AM,,Overturning,전도/낙하/부딪힘,전도,1.0,1.0
140.0,Hanmi,Rahul Mor,Module GF,21.03.2026,DSHI,"Repeated safety voilation
Even after instruction to remove,  the gas cylinder weren't removed 
High risky condition just behind the trailer Tyre",Kindly remove the gas cylinders ASAP & do safe storage,Yes,WhatsApp Image 2026-03-21 at 1.58.54 PM,,Explosion,화재/탄화,폭발,1.0,1.0
141.0,Hanmi,Rahul Mor,Module 2F,21.03.2026,DSHI,"Korean person of DSHI suspended in high risky position while workingat heights,  standing on one leg , tools lanyard rope not connected,  downside worker in scissor lift is in line of fire
Even there are no secondary protection for fall protection, using single pp rope","Kindly follow safe height work procedure,retrain the team",Yes,WhatsApp Image 2026-03-21 at 2.06.24 PM,,Falling,떨어짐/낙상,추락,0.4815,0.563
142.0,Hanmi,Rahul Mor,Module 2F,21.03.2026,DSHI,"Retractable fall arrestor rope directly tied with sharp edges anchor point without shakle , chances of rope damage ",Kindly use d shakle,Yes,,,Falling,전도/낙하/부딪힘,추락,0.5001,0.5002
143.0,Hanmi,Rahul Mor,Module 1F,21.03.2026,Hankuk,Materials scattered in haphazard manner ,Kindly do housekeeping of all your working areas ,Yes,WhatsApp Image 2026-03-21 at 3.14.15 PM,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
144.0,Hanmi,Rahul Mor,Module 2F,21.03.2026,Hankuk,"Worker Roaming at scaffolding area at height without any safety harness,  no name tag & no induction sticker on safety helmet","Kindly check the induction record & display the name sticker & induction sticker
Retrain the worker about safe height work procedure.",Yes,,,Falling,떨어짐/낙상,추락,0.4451,0.4605
145.0,Hanmi,Rahul Mor,Module GF,23.03.2026,DSHI,"Unauthorized person entry not banned in the incomplete staircase area No signage/caution, no barricade",Kindly Close the unauthorized personnel entry in the incomplete staircase,Yes,,,,기타,기타,0.1404,0.2059
146.0,Hanmi,Surender Kumar,Module 1F,23.03.2026,DSHI,No signalman for the boom lift in the working condition,Kindly assign signalman for all the working equipments,Yes,,,,기타,기타,0.1751,0.2229
147.0,Hanmi,Rahul Mor,Module 1F,23.03.2026,DSHI,"Loose materials placed on staircase structure at height , chances of fall of materials",Kindly donot place any loose material near the edge area at heights,Yes,,,,전도/낙하/부딪힘,추락,0.3936,0.4122
148.0,Hanmi,Rahul Mor,Module 2F,23.03.2026,DSHI,"Loose condition of anchor bolts,not properly tighten,risky condition","Kindly tighten all the nut bolts properly at staircase area ,reinspect the area ",Yes,,,,기타,기타,0.2313,0.1611
149.0,Hanmi,Rahul Mor,Module 2F,23.03.2026,DSHI,Barricading ropes are in loose condition at height near edge area ,Need to tighten properly,Yes,,,,떨어짐/낙상,추락,0.3117,0.3733
150.0,Hanmi,Rahul Mor,Module 2F,23.03.2026,DSHI,"Repeated safety observation/unsafe condition Retractable fall arrestor rope connected to sharp edge directly without any shakle , chances of damaging the rope , risk of fall from height ",Kindly provide d Shakle connection ASAP,Yes,,,,떨어짐/낙상,추락,0.3728,0.4255
151.0,Hanmi,Rahul Mor,Module 2F,23.03.2026,DSHI,Earthing holder was not connected during Welding work  Risk of severe electric shock or electrocution to the welder  caused by intense arcing and overheating at the unstable connection point,Always connect the earthing holder of welding machine before starting the welding,Yes,,,,기타,기타,0.2417,0.2386
152.0,Hanmi,Surender Kumar,Module 2F,23.03.2026,DSHI,Risky condition  During leveling ( downside ) Korean person of DSHI standing in unsafe position by holding the web sling on single narrow beam at much height ( at the top of the permanent staircase  structure ),Kindly use safe working platform at height,No,,,,떨어짐/낙상,추락,0.2778,0.3864
153.0,Hanmi,Rahul Mor,Module 2F,23.03.2026,DSHI,Hand tools lanyard/ rope not connected during work at height in risky condition,Kindly follow safe height work procedure,Yes,,,,떨어짐/낙상,추락,0.2122,0.3019
154.0,Hanmi,Rahul Mor,Module GF,24.03.2026,Hankuk,"Infront & nearby of fire hydrant points many materials storage done, ",need to clear the access for emergency purposes,Yes,,,,화재/탄화,기타,0.2966,0.1751
155.0,Hanmi,Rahul Mor,Module GF,24.03.2026,Hankuk,Due to poor signaling materials trailer collided  with entry gate & scaffolding materials displaced from its position  ,"Kindly provide two signalman ( one front, one back side with safe distance ) to avoid collision",Yes,,,,전도/낙하/부딪힘,붕괴,0.3537,0.3193
156.0,Hanmi,Rahul Mor,Module GF,24.03.2026,Hankuk,No side support were installed in the trailer ,Kindly install/use side support to avoid materials falling,Yes,,,,기타,기타,0.0857,0.2293
157.0,Hanmi,Surender Kumar,Module 2F,24.03.2026,Hankuk,"The access is congested,  outer part need to be insulated of the colunm & no reflective provided for the same , anyone can collide with the outer part of the structure in access way ",Kindly provide reflective & insulation,Yes,,,,기타,기타,0.2391,0.2352
158.0,Hanmi,Surender Kumar,Module 1F,24.03.2026,Hankuk,No barricade for materials storage area ( rebars & other ),Kindly do proper barricade & display material name tag sheet,Yes,,,,기타,기타,0.2242,0.2282
159.0,Hanmi,Rahul Mor,Module 2F,24.03.2026,Hankuk,"Many materials [ rebars, scaffolding parts ] scattered in haphazard manner in access way of scaffolding",Kindly clear the materials from the access way,Yes,,,,전도/낙하/부딪힘,붕괴,0.2609,0.324
160.0,Hanmi,Surender Kumar,Module 2F,24.03.2026,DSHI,Unsafe position just near the opening area at height,Need to make safe distance from the opening or close/barricade the opening area temporarily for now,Yes,,,,기타,기타,0.2016,0.2462
161.0,Hanmi,Surender Kumar,Module 2F,24.03.2026,DSHI,"Just Near edge area [ at this much height] using anchoring in low height pp rope , no secondary fall protection [ retractable fall arrestor ] used",Kindly follow safe height work procedure,Yes,,,,떨어짐/낙상,추락,0.3475,0.4185
162.0,Hanmi,Rahul Mor,Module 2F,24.03.2026,DSHI,"Lifting area was not cordoned off from both side , no signalman to stop the unauthorized entry in Lifting zone",Kindly barricade the lifting work area & remove all the unauthorized person,Yes,,,,기타,기타,0.2052,0.2102
163.0,Hanmi,Rahul Mor,Module 1F,24.03.2026,Daemyoung,"High risk /Safety voilation Worker working on live panel[LT panel], only single spare breaker is off , all other connections/breaker is on  in the LT panel No positive isolation , no LOTO has been followed  High risk of electric shock, arc flash, violation of safety regulations",Kindly follow LOTO procedure & isolate the working point & deenergized the panel first ,Yes,,,,감전/합선,감전,0.3283,0.3305
164.0,Hanmi,Rahul Mor,Module 1F,24.03.2026,Hankuk,"Hand vibrator locking bolt was broken,wire were used instead of locking bolt which is not safe,in no working/using condition socket connection was not removed",Kindly provide locking bolt & remove the connection when/if not using the hand vibrator,Yes,,,,감전/합선,감전,0.2785,0.2608
165.0,Hanmi,Rahul Mor,Module 1F,24.03.2026,DSHI,Uneven/unsafe placement of material lifting box,Kindly place properly the material lifting box,Yes,,,,기타,기타,0.2555,0.2364
166.0,Hanmi,Rahul Mor,Module GF,24.03.2026,DSHI,Unsafe transportation in horizontal position of DA & oxygen gas cylinders in trailer,Kindly follow safe transportation & storage method of gas cylinders in vertical position,Yes,,,,전도/낙하/부딪힘,전도,0.1764,0.3138
167.0,Hanmi,Rahul Mor,Module 1F,24.03.2026,Hankuk,"Important Stell bar cutter  1. Need OEM certificate & user guidelines for safe use & handling of this machine  2. Access pass for equipment date expired before three month but the inspection tag from C&T having this month date, so the inspection is not done properly  3. ""No Unauthorized entry"" signage should be displayed in the working zone  Only the operator should be within the immediate radius to prevent someone else from accidentally bumping into the moving parts 4. E-Stop button should be inspected on regular intervals ( as per user guidelines)  5. An gear oil or lubricant leaks is in the machine  The leak suggests that the oil seals or the gearbox gasket have failed. 6. Single body earthing for the motor only,need double body earthing , second body earthing should be on other part of machine",Kindly do all the compliance before start using stell bar cutter & do the inspection properly.,Yes,,,,기타,기타,0.3139,0.3444
168.0,Hanmi,Surender Kumar,Module 2F,25.03.2026,Hankuk,"Unsafe opening in the scaffolding,did not close/barricade",Kindly barricade the incomplete scaffolding area/provide barrier,Yes,,,Falling,떨어짐/낙상,추락,0.4631,0.4766
169.0,Hanmi,Surender Kumar,Module 2F,25.03.2026,Hankuk,Toe guard were not installed in some area ,Kindly provide the toe guard for the balance area,Yes,,,Dropping,떨어짐/낙상,낙하,0.267,0.365
170.0,Hanmi,Rahul Mor,Module 2F,25.03.2026,Hankuk,Unsafe access way to the working point,Kindly use alternative safe access,No,,,Falling,전도/낙하/부딪힘,낙하,0.3877,0.3741
171.0,Hanmi,Rahul Mor,Module 2F,25.03.2026,Hankuk,Worker walking /standing on the rebars without fall protection at height,Kindly use safe platform to work ,No,,,Falling,전도/낙하/부딪힘,추락,0.441,0.4611
172.0,Hanmi,Surender Kumar,Module 1F,25.03.2026,DSHI,Underneath area of lifting work was not barricade & unauthorized entry was not banned,Kindly barricade the lifting work area & remove all the unauthorized person,Yes,,,Dropping,전도/낙하/부딪힘,낙하,0.3286,0.393
173.0,Hanmi,Rahul Mor,Module 2F,25.03.2026,Hankuk,"Unsafe anchoring point of safety harness,below the working platform",The anchoring point for safety harness must be above the shoulder of the person,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
174.0,Hanmi,Rahul Mor,Module 2F,25.03.2026,DSHI,Loose heavy metal plate in the access way from under many workers are crosing,Kindly tighten the loose metal plate or remove from height / unsafe point,No,,,Dropping,전도/낙하/부딪힘,낙하,0.4114,0.4786
175.0,Hanmi,Rahul Mor,Module 1F,25.03.2026,Hankuk,"During rebars shifting person were standing in line of fire
",Kindly remove the person from line of fire & barricade the working zone,Yes,,,Dropping,전도/낙하/부딪힘,추락,0.2936,0.3347
176.0,Hanmi,Rahul Mor,Module 2F,25.03.2026,Hankuk,Loose materials scattered in haphazard manner at scaffolding near opening area,Kindly remove all the materials & close the openings ,No,,,Dropping,전도/낙하/부딪힘,낙하,0.4524,0.4603
177.0,Hanmi,Rahul Mor,Module 1F,25.03.2026,Hankuk,Props/jacks placed on single wooden piece & tighten with wire instead of standard clamping,Kindly install properly in standard way,No,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
178.0,Hanmi,Rahul Mor,Module 2F,25.03.2026,Hankuk,Near edge area at height worker was sitting without anchoring of safety harness,Kindly retrain the worker about height work procedure,Yes,,,Falling,떨어짐/낙상,추락,0.5187,0.5793
179.0,Hanmi,Rahul Mor,Module 2F,25.03.2026,Hankuk,Safety harness lanyards knotted at height which is not safe ,Kindly share this concern in TBM & aware the workers not to knot the lanyards of safety harness,No,,,Falling,전도/낙하/부딪힘,추락,0.3714,0.385
180.0,Hanmi,Rahul Mor,Module 2F,25.03.2026,Hankuk,"Worker were holding materials in both hand and walking on rebars which may lead to loose the balance &slip,trip & fall",Kindly donot allow the materials in both hands in such unsafe ground condition,No,,,Falling,떨어짐/낙상,낙하,0.4781,0.4123
181.0,Hanmi,Rahul Mor,Module 2F,25.03.2026,Hankuk,"Unsafe walking/working point,ground condition",Plywood access need to be provided instead of direct allowing to walk on rebars,Yes,,,Entrapment,끼임,협착,1.0,1.0
182.0,Hanmi,Rahul Mor,Module 2F,25.03.2026,DSHI,"Korean person of DSHI suspended in high risky position while workingat heights,  standing on one leg , tools lanyard rope not connected,  Loose nut bolt bag not anchored at any point",Kindly follow safe height work procedure.,No,,,Dropping,전도/낙하/부딪힘,낙하,0.378,0.4118
183.0,Hanmi,Surender Kumar,Module 1F,25.03.2026,DSHI,Unsafe placing of material lifting box,Kindly check the uneven placing of the material lifting box & reshift in safe position,Yes,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
184.0,Hanmi,Surender Kumar,Module 1F,25.03.2026,Hankuk,Materials/rebars placing in access way ,Kindly remove the materials/rebars from the access way,Yes,,,Falling,전도/낙하/부딪힘,낙하,0.4838,0.4359
185.0,Hanmi,Rahul Mor,Module 1F,26.03.2026,Hankuk,"Due to irregular & unsafe staking of scaffold pipes, during shifting, pipes displaced from fork lift
Moreover Workers are standing extremely close to the forklift and the load while it is being adjusted.","Kindly do proper staking of all material & maintain that,also make safe distance from the fork lift (euipment)",No,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
186.0,Hanmi,Rahul Mor,Module 2F,26.03.2026,Hankuk,Materials from safety net need to be removed,Kindly remove falling materials from safety net,,,,Dropping,전도/낙하/부딪힘,낙하,0.3174,0.3485
187.0,Hanmi,Surender Kumar,Module 2F,26.03.2026,Hankuk,"Unsafe opening area need to barricade or covered
Warning these openings even while working time",Kindly provide barrier/cover the opening parts,Yes,,,Falling,전도/낙하/부딪힘,추락,0.3396,0.3351
188.0,Hanmi,Rahul Mor,Module 1F,26.03.2026,DSHI,"Heavy steel beam resting on a narrow, unstable stack of slippers with no load distribution, posing a collapse and slip hazard.",Kindly place in safe manner the heavy weight,No,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
189.0,Hanmi,Rahul Mor,Module 1F,26.03.2026,DSHI,"Signalman was Giving signal to crane operator standing just near the material inside the barricade
Uncontrolled Lifting zone 
Signalman stands just front the lifted material ( beam ) 
Unauthorized personnel (Housekeeping workers) inside Lifting area barricade ","Kindly make safe distance ,barricade the lifting zone & remove the unauthorized personnel",Yes,,,Flying objection,전도/낙하/부딪힘,비래,1.0,1.0
190.0,Hanmi,Rahul Mor,Module 1F,26.03.2026,Hankuk," Diagonal bracing ( side support ) started cracking at the bottom , Potential for sudden component failure leading to a loss of scaffold stability,.", kindly replace it,Yes,,,Collapse,전도/낙하/부딪힘,붕괴,1.0,1.0
191.0,Hanmi,Rahul Mor,Module 2F,27.03.2026,Hankuk,"Unsafe opening area, worker sitting/working near edge area without any barrier at height",Kindly provide barrier/barricade for the edge area,Yes,,,Falling,떨어짐/낙상,추락,0.4614,0.523
192.0,Hanmi,Rahul Mor,Module 2F,27.03.2026,Hankuk,"Scaffolding area , downside of the slab 
No proper access, much gap in scaffolding platform
Lots of materials near working point  
Illumination level are not proper near working point 
Sharp edges support near access way 
Opening in access way ",Kindly check the area & do safe arrangements work that congested area,No,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
193.0,Hanmi,Surender Kumar,Module 2F,27.03.2026,DSHI,"Materials scattered at site,housekeeping after work have not done",Need housekeeping to be done,Yes,,,Others,기타,기타,1.0,1.0
194.0,Hanmi,Rahul Mor,Module 1F,27.03.2026,DSHI,"No anchoring of Safety harness at height in scissor lift 
No signalman for this scissor lift 
Unsafe  working condition at height",Kindly do anchoring of safety harness at height & provide signalman,Yes,,,Falling,전도/낙하/부딪힘,추락,0.4413,0.526
195.0,Hanmi,Rahul Mor,Module GF,27.03.2026,DSHI,"Repeated safety violation 
No signalman for Lifting area 
Unauthorized worker giving signal to crane operator Moreover he is holding the material/tag line also with walkie talkie.",Kindly assign competant person for signaling & banks man ,Yes,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
196.0,Hanmi,Surender Kumar,Module 1F,28.03.2026,DSHI,"During boom lift movement area was not cordoned off
",Kindly barricade the the area & stop the unauthorized entry,No,,,Impact,전도/낙하/부딪힘,충돌,1.0,1.0
197.0,Hanmi,Surender Kumar,Module 2F,28.03.2026,Hankuk,Unsafe slippery standing at height,Kindly use safe working platform at height ,No,,,Falling,전도/낙하/부딪힘,추락,0.4475,0.4326
198.0,Hanmi,Surender Kumar,Module 2F,30.03.2026,DSHI,Kindly don't keep loose nut bolts at height near edge area,Kindly donot put any loose materials at height near edge area,Yes,,,Dropping,전도/낙하/부딪힘,낙하,0.3839,0.4349
